01-Jan,Gen-1;2,Psa-1;2,Matt-1;2
02-Jan,Gen-3;4,Psa-3;5,Matt-3;4
03-Jan,Gen-5;6,Psa-6;8,Matt-5
04-Jan,Gen-7;8,Psa-9;10,Matt-6
05-Jan,Gen-9;10,Psa-11;13,Matt-7
06-Jan,Gen-11;12,Psa-14;16,Matt-8
07-Jan,Gen-13;14,Psa-17,Matt-9
08-Jan,Gen-15;16,Psa-18,Matt-10
09-Jan,Gen-17;18,Psa-19;21,Matt-11
10-Jan,Gen-19,Psa-22,Matt-12
11-Jan,Gen-20;21,Psa-23;25,Matt-13
12-Jan,Gen-22;23,Psa-26;28,Matt-14
13-Jan,Gen-24,Psa-29;30,Matt-15
14-Jan,Gen-25;26,Psa-31,Matt-16
15-Jan,Gen-27,Psa-32,Matt-17
16-Jan,Gen-28;29,Psa-33,Matt-18
17-Jan,Gen-30,Psa-34,Matt-19
18-Jan,Gen-31,Psa-35,Matt-20
19-Jan,Gen-32;33,Psa-36,Matt-21
20-Jan,Gen-34;35,Psa-37,Matt-22
21-Jan,Gen-36,Psa-38,Matt-23
22-Jan,Gen-37,Psa-39;40,Matt-24
23-Jan,Gen-38,Psa-41;43,Matt-25
24-Jan,Gen-39;40,Psa-44,Matt-26
25-Jan,Gen-41,Psa-45,Matt-27
26-Jan,Gen-42;43,Psa-46;48,Matt-28
27-Jan,Gen-44;45,Psa-49,Rom-1;2
28-Jan,Gen-46;47,Psa-50,Rom-3;4
29-Jan,Gen-48;50,Psa-51;52,Rom-5;6
30-Jan,Exod-1;2,Psa-53;55,Rom-7;8
31-Jan,Exod-3;4,Psa-56;57,Rom-9
01-Feb,Exod-5;6,Psa-58;59,Rom-10;11
02-Feb,Exod-7;8,Psa-60;61,Rom-12
03-Feb,Exod-9,Psa-62;63,Rom-13;14
04-Feb,Exod-10,Psa-64;65,Rom-15;16
05-Feb,Exod-11;12,Psa-66;67,Mrk-1
06-Feb,Exod-13;14,Psa-68,Mrk-2
07-Feb,Exod-15,Psa-69,Mrk-3
08-Feb,Exod-16,Psa-70;71,Mrk-4
09-Feb,Exod-17;18,Psa-72,Mrk-5
10-Feb,Exod-19;20,Psa-73,Mrk-6
11-Feb,Exod-21,Psa-74,Mrk-7
12-Feb,Exod-22,Psa-75;76,Mrk-8
13-Feb,Exod-23,Psa-77,Mrk-9
14-Feb,Exod-24;25,Psa-78,Mrk-10
15-Feb,Exod-26,Psa-79;80,Mrk-11
16-Feb,Exod-27,Psa-81;82,Mrk-12
17-Feb,Exod-28,Psa-83;84,Mrk-13
18-Feb,Exod-29,Psa-85;86,Mrk-14
19-Feb,Exod-30,Psa-87;88,Mrk-15;16
20-Feb,Exod-31;32,Psa-89,1Cor-1;2
21-Feb,Exod-33;34,Psa-90;91,1Cor-3
22-Feb,Exod-35,Psa-92;93,1Cor-4;5
23-Feb,Exod-36,Psa-94;95,1Cor-6
24-Feb,Exod-37,Psa-96;99,1Cor-7
25-Feb,Exod-38,Psa-100;101,1Cor-8;9
26-Feb,Exod-39;40,Psa-102,1Cor-10
27-Feb,Lev-1;2,Psa-103,1Cor-11
28-Feb,Lev-3;4,Psa-104,1Cor-12;13
01-Mar,Lev-5;6,,
02-Mar,Lev-7,,
03-Mar,Lev-8,,
04-Mar,Lev-9;10,,
05-Mar,Lev-11,,
06-Mar,Lev-12;13,,
07-Mar,Lev-14,,
08-Mar,Lev-15,,
09-Mar,Lev-16,,
10-Mar,Lev-17;18,,
11-Mar,Lev-19,,
12-Mar,Lev-20,,
13-Mar,Lev-21,,
14-Mar,Lev-22,,
15-Mar,Lev-23,,
16-Mar,Lev-24,,
17-Mar,Lev-25,,
18-Mar,Lev-26,,
19-Mar,Lev-27,,
20-Mar,,,
21-Mar,,,
22-Mar,,,
23-Mar,,,
24-Mar,,,
25-Mar,,,
26-Mar,,,
27-Mar,,,
28-Mar,,,
29-Mar,,,
30-Mar,,,
31-Mar,,,
01-Apr,,,
02-Apr,,,
03-Apr,,,
04-Apr,,,
05-Apr,,,
06-Apr,,,
07-Apr,,,
08-Apr,,,
09-Apr,,,
10-Apr,,,
11-Apr,,,
12-Apr,,,
13-Apr,,,
14-Apr,,,
15-Apr,,,
16-Apr,,,
17-Apr,,,
